yname     	ytheme 	ypaper   	ylove  	yacquitime	采集时间               
刘力扬       	470068 	13938085 	49573  	2016-11-22	2016-11-22 20:26:22
何琢言       	37128  	719028   	20027  	2016-11-22	2016-11-22 20:26:26
陆玲        	3985   	75395    	498    	2016-11-22	2016-11-22 20:26:30
余心恬       	1078   	12043    	1076   	2016-11-22	2016-11-22 20:26:35
毛林林       	2862   	59228    	9169   	2016-11-22	2016-11-22 20:26:39
罗海琼       	2864   	27230    	901    	2016-11-22	2016-11-22 20:26:43
张笛        	5283   	110640   	2461   	2016-11-22	2016-11-22 20:26:47
贾玲        	3816   	58759    	29021  	2016-11-22	2016-11-22 20:26:51
杨童舒       	1939   	41027    	1248   	2016-11-22	2016-11-22 20:26:56
朱琳        	4339   	122780   	5645   	2016-11-22	2016-11-22 20:27:00
杨雪        	8219   	146669   	13737  	2016-11-22	2016-11-22 20:27:04
杨子姗       	9306   	305223   	32639  	2016-11-22	2016-11-22 20:27:09
蒋林静       	233    	1444     	11263  	2016-11-22	2016-11-22 20:27:13
李欣汝       	7406   	176656   	5076   	2016-11-22	2016-11-22 20:27:17
邬靖靖       	1518   	56791    	12861  	2016-11-22	2016-11-22 20:27:21
陈敏之       	5179   	72361    	4267   	2016-11-22	2016-11-22 20:27:25
陈冲        	1914   	10143    	1143   	2016-11-22	2016-11-22 20:27:30
王雅捷       	1218   	6986     	862    	2016-11-22	2016-11-22 20:27:34
邵路雅       	       	9712     	790    	2016-11-22	2016-11-22 20:27:38
张雅萌       	66     	1770     	93     	2016-11-22	2016-11-22 20:27:42
关婷娜       	1694   	35160    	7610   	2016-11-22	2016-11-22 20:27:47
王子文       	10748  	632724   	26578  	2016-11-22	2016-11-22 20:27:51
温心        	92     	3553     	978    	2016-11-22	2016-11-22 20:27:55
彭帅        	10084  	276056   	5160   	2016-11-22	2016-11-22 20:27:59
孙菲菲       	23191  	374762   	23456  	2016-11-22	2016-11-22 20:28:03
卓依婷       	61837  	3283805  	268588 	2016-11-22	2016-11-22 20:28:08
麦迪娜       	1370   	31816    	2338   	2016-11-22	2016-11-22 20:28:12
张延        	575    	9282     	748    	2016-11-22	2016-11-22 20:28:16
杨盼盼       	1795   	59119    	2893   	2016-11-22	2016-11-22 20:28:20
萧蔷        	8699   	169994   	17923  	2016-11-22	2016-11-22 20:28:24
李颖        	2165   	58983    	2621   	2016-11-22	2016-11-22 20:28:28
天心        	       	75345    	5848   	2016-11-22	2016-11-22 20:28:33
王姬        	9533   	134550   	1823   	2016-11-22	2016-11-22 20:28:37
韩雨芹       	6231   	86908    	1531   	2016-11-22	2016-11-22 20:28:41
江语晨       	11226  	227286   	7356   	2016-11-22	2016-11-22 20:28:45
傅晶        	4142   	42382    	2318   	2016-11-22	2016-11-22 20:28:49
邬倩倩       	3651   	147231   	13513  	2016-11-22	2016-11-22 20:28:54
李明启       	587    	3018     	619    	2016-11-22	2016-11-22 20:28:58
韩青        	1754   	20790    	486    	2016-11-22	2016-11-22 20:29:02
范玮琪       	55295  	926551   	260478 	2016-11-22	2016-11-22 20:29:06
刘品言       	12166  	416508   	15310  	2016-11-22	2016-11-22 20:29:10
黄曼        	975    	14480    	711    	2016-11-22	2016-11-22 20:29:15
刘蓓        	910    	15769    	11378  	2016-11-22	2016-11-22 20:29:19
车永莉       	1236   	4426     	12544  	2016-11-22	2016-11-22 20:29:23
尚雯婕       	687335 	24626057 	370506 	2016-11-22	2016-11-22 20:29:27
牛萌萌       	2832   	27482    	993    	2016-11-22	2016-11-22 20:29:31
陈慧琳       	130327 	3263287  	147453 	2016-11-22	2016-11-22 20:29:36
韩再芬       	14677  	319173   	17538  	2016-11-22	2016-11-22 20:29:40
温碧霞       	11445  	58867    	20511  	2016-11-22	2016-11-22 20:29:44
张凯丽       	1013   	21104    	1155   	2016-11-22	2016-11-22 20:29:48
张柏嘉       	722    	34989    	1620   	2016-11-22	2016-11-22 20:29:52
代乐乐       	1213   	12012    	735    	2016-11-22	2016-11-22 20:29:57
陈祉希       	293    	3754     	417    	2016-11-22	2016-11-22 20:30:01
陈松伶       	15703  	205359   	7571   	2016-11-22	2016-11-22 20:30:05
朱杰        	5954   	80753    	748    	2016-11-22	2016-11-22 20:30:09
张曼玉       	8200   	144675   	96733  	2016-11-22	2016-11-22 20:30:13
李方丁       	608    	6781     	1900   	2016-11-22	2016-11-22 20:30:18
曾宝仪       	7159   	147177   	4748   	2016-11-22	2016-11-22 20:30:22
陈庭妮       	3219   	35651    	18163  	2016-11-22	2016-11-22 20:30:26
姜鸿        	281    	39186    	1892   	2016-11-22	2016-11-22 20:30:30
莫文蔚       	33064  	742933   	155997 	2016-11-22	2016-11-22 20:30:34
叶梓萱       	2749   	103797   	20947  	2016-11-22	2016-11-22 20:30:39
邓丽欣       	35049  	853352   	31419  	2016-11-22	2016-11-22 20:30:43
习雪        	2010   	40367    	2139   	2016-11-22	2016-11-22 20:30:47
解惠清       	960    	7287     	531    	2016-11-22	2016-11-22 20:30:51
齐芳        	570    	44261    	992    	2016-11-22	2016-11-22 20:30:55
徐若瑄       	24127  	623834   	25335  	2016-11-22	2016-11-22 20:31:00
刘惜君       	356057 	13353983 	388699 	2016-11-22	2016-11-22 20:31:04
俞小凡       	1171   	16407    	633    	2016-11-22	2016-11-22 20:31:08
刘思言       	681    	4221     	564    	2016-11-22	2016-11-22 20:31:12
徐静蕾       	13024  	171674   	223044 	2016-11-22	2016-11-22 20:31:16
蔡黄汝       	2640   	32978    	1335   	2016-11-22	2016-11-22 20:31:21
王媛可       	763    	9870     	909    	2016-11-22	2016-11-22 20:31:25
周冬雨       	42421  	1701528  	278430 	2016-11-22	2016-11-22 20:31:29
沈梦辰       	6861   	61168    	23274  	2016-11-22	2016-11-22 20:31:33
章子怡       	40779  	1133518  	279668 	2016-11-22	2016-11-22 20:31:37
刘云        	204    	2378     	186    	2016-11-22	2016-11-22 20:31:42
张雨绮       	4655   	78990    	35223  	2016-11-22	2016-11-22 20:31:46
张天爱       	10685  	985197   	648577 	2016-11-22	2016-11-22 20:31:50
霍建华       	210655 	25346351 	1388071	2016-11-22	2016-11-22 20:31:54
杨洋        	66913  	12446243 	1013762	2016-11-22	2016-11-22 20:31:59
李易峰       	314401 	64441534 	2171738	2016-11-22	2016-11-22 20:32:03
胡歌        	371485 	22426191 	1202787	2016-11-22	2016-11-22 20:32:07
马可        	9029   	202571   	8036   	2016-11-22	2016-11-22 20:32:11
李晨        	22371  	709715   	104981 	2016-11-22	2016-11-22 20:32:15
陈晓        	56323  	4723020  	640899 	2016-11-22	2016-11-22 20:32:19
吴磊        	15691  	1860035  	228387 	2016-11-22	2016-11-22 20:32:24
刘恺威       	81520  	5045098  	539877 	2016-11-22	2016-11-22 20:32:28
钟汉良       	227365 	19682782 	1064483	2016-11-22	2016-11-22 20:32:32
贾乃亮       	       	515017   	277311 	2016-11-22	2016-11-22 20:32:36
陈赫        	71301  	3369594  	479191 	2016-11-22	2016-11-22 20:32:40
罗晋        	38100  	6160705  	329012 	2016-11-22	2016-11-22 20:32:45
杜淳        	95392  	4884952  	368572 	2016-11-22	2016-11-22 20:32:49
张丹峰       	5370   	246686   	34669  	2016-11-22	2016-11-22 20:32:53
郑恺        	20990  	1110021  	149492 	2016-11-22	2016-11-22 20:32:57
黄宗泽       	55110  	2346264  	345774 	2016-11-22	2016-11-22 20:33:01
邓超        	60223  	2756205  	603608 	2016-11-22	2016-11-22 20:33:06
王凯        	19360  	2288730  	145924 	2016-11-22	2016-11-22 20:33:10
张翰        	256036 	16694975 	804511 	2016-11-22	2016-11-22 20:33:14
陈伟霆       	34827  	7784496  	396172 	2016-11-22	2016-11-22 20:33:18
黄晓明       	128322 	4603361  	338979 	2016-11-22	2016-11-22 20:33:22
靳东        	9868   	706437   	53327  	2016-11-22	2016-11-22 20:33:26
陆毅        	63459  	1855063  	503561 	2016-11-22	2016-11-22 20:33:30
刘烨        	25493  	565403   	256075 	2016-11-22	2016-11-22 20:33:35
黄渤        	18138  	643421   	297127 	2016-11-22	2016-11-22 20:33:39
马天宇       	798758 	43778034 	1187831	2016-11-22	2016-11-22 20:33:43
陈翔        	502012 	33745044 	944785 	2016-11-22	2016-11-22 20:33:47
井柏然       	585989 	51173678 	433535 	2016-11-22	2016-11-22 20:33:51
乔振宇       	60738  	6945669  	356131 	2016-11-22	2016-11-22 20:33:56
鹿晗        	91896  	25823965 	3174429	2016-11-22	2016-11-22 20:34:00
朱亚文       	16548  	670350   	224500 	2016-11-22	2016-11-22 20:34:04
张若昀       	12359  	1411761  	204001 	2016-11-22	2016-11-22 20:34:09
吴奇隆       	143832 	10177453 	679660 	2016-11-22	2016-11-22 20:34:13
佟大为       	28412  	351689   	33566  	2016-11-22	2016-11-22 20:34:17
罗志祥       	396980 	14543596 	717021 	2016-11-22	2016-11-22 20:34:21
任重        	12928  	370946   	27122  	2016-11-22	2016-11-22 20:34:25
吴卓羲       	52470  	1647991  	172985 	2016-11-22	2016-11-22 20:34:29
言承旭       	115570 	5078811  	502986 	2016-11-22	2016-11-22 20:34:34
吴京        	30997  	2071866  	330133 	2016-11-22	2016-11-22 20:34:38
杨烁        	6666   	467297   	18413  	2016-11-22	2016-11-22 20:34:42
周杰伦       	2359135	80231555 	2407964	2016-11-22	2016-11-22 20:34:46
孙红雷       	20430  	321457   	43800  	2016-11-22	2016-11-22 20:34:50
袁弘        	30294  	3666201  	272233 	2016-11-22	2016-11-22 20:34:55
宋小宝       	12164  	224187   	146116 	2016-11-22	2016-11-22 20:34:59
陈奕迅       	188908 	15484898 	1853205	2016-11-22	2016-11-22 20:35:03
陈小春       	56857  	957290   	273738 	2016-11-22	2016-11-22 20:35:07
乔任梁       	566057 	83473667 	587937 	2016-11-22	2016-11-22 20:35:11
彭于晏       	38718  	1367337  	392957 	2016-11-22	2016-11-22 20:35:16
郭德纲       	594426 	14656002 	861420 	2016-11-22	2016-11-22 20:35:20
陈浩民       	64461  	2101063  	268587 	2016-11-22	2016-11-22 20:35:24
苏有朋       	105312 	3148974  	290569 	2016-11-22	2016-11-22 20:35:28
张智尧       	33099  	6522872  	271313 	2016-11-22	2016-11-22 20:35:33
王宝强       	45191  	1392388  	308067 	2016-11-22	2016-11-22 20:35:37
何炅        	68448  	2723195  	418289 	2016-11-22	2016-11-22 20:35:41
吴秀波       	72231  	5536960  	495500 	2016-11-22	2016-11-22 20:35:45
周星驰       	213881 	8833791  	930396 	2016-11-22	2016-11-22 20:35:49
黄磊        	8359   	142673   	30812  	2016-11-22	2016-11-22 20:35:54
何润东       	47385  	1968458  	143412 	2016-11-22	2016-11-22 20:35:58
徐海乔       	6715   	1342702  	29034  	2016-11-22	2016-11-22 20:36:02
韩东君       	1209   	124671   	19288  	2016-11-22	2016-11-22 20:36:06
魏千翔       	3287   	107904   	26692  	2016-11-22	2016-11-22 20:36:10
郭京飞       	6526   	248643   	15828  	2016-11-22	2016-11-22 20:36:14
张云龙       	4905   	617786   	36343  	2016-11-22	2016-11-22 20:36:19
林志颖       	188074 	6329819  	724102 	2016-11-22	2016-11-22 20:36:23
汪东城       	135816 	8510794  	657465 	2016-11-22	2016-11-22 20:36:27
包贝尔       	8407   	898008   	28693  	2016-11-22	2016-11-22 20:36:31
于和伟       	11880  	386287   	139465 	2016-11-22	2016-11-22 20:36:35
金世佳       	7250   	311383   	34313  	2016-11-22	2016-11-22 20:36:40
胡军        	6968   	129996   	10351  	2016-11-22	2016-11-22 20:36:44
钱泳辰       	13762  	203136   	2826   	2016-11-22	2016-11-22 20:36:48
薛之谦       	250597 	6876980  	461446 	2016-11-22	2016-11-22 20:36:52
孙艺洲       	20746  	1323978  	290620 	2016-11-22	2016-11-22 20:36:57
沙溢        	26762  	740949   	42955  	2016-11-22	2016-11-22 20:37:01
杨志刚       	6863   	224134   	21037  	2016-11-22	2016-11-22 20:37:05
黄维德       	11192  	249987   	5291   	2016-11-22	2016-11-22 20:37:09
焦恩俊       	59611  	2707462  	275488 	2016-11-22	2016-11-22 20:37:13
魏晨        	891876 	33997594 	1036562	2016-11-22	2016-11-22 20:37:18
韩庚        	736590 	38606756 	904163 	2016-11-22	2016-11-22 20:37:22
杜海涛       	53605  	747007   	372613 	2016-11-22	2016-11-22 20:37:26
张卫健       	43598  	1260756  	246875 	2016-11-22	2016-11-22 20:37:30
古天乐       	88369  	2127627  	311134 	2016-11-22	2016-11-22 20:37:34
吴昕        	23021  	429972   	169219 	2016-11-22	2016-11-22 20:37:39
王雷        	8313   	174633   	17060  	2016-11-22	2016-11-22 20:37:43
谢霆锋       	1017540	22600824 	697017 	2016-11-22	2016-11-22 20:37:47
蒋劲夫       	24883  	1674268  	467264 	2016-11-22	2016-11-22 20:37:51
段奕宏       	40139  	2463219  	166767 	2016-11-22	2016-11-22 20:37:55
郑嘉颖       	39128  	3649326  	373948 	2016-11-22	2016-11-22 20:37:59
傅程鹏       	3680   	171107   	18148  	2016-11-22	2016-11-22 20:38:04
董成鹏       	4874   	106578   	134294 	2016-11-22	2016-11-22 20:38:08
张艺兴       	60117  	15119551 	2420911	2016-11-22	2016-11-22 20:38:12
高云翔       	4313   	165297   	126903 	2016-11-22	2016-11-22 20:38:16
张哲瀚       	2706   	110009   	14189  	2016-11-22	2016-11-22 20:38:21
林峰        	233366 	9969734  	462516 	2016-11-22	2016-11-22 20:38:25
张嘉译       	30899  	1426917  	35916  	2016-11-22	2016-11-22 20:38:29
林正英       	35778  	1046140  	279148 	2016-11-22	2016-11-22 20:38:33
王祖蓝       	8314   	181487   	38860  	2016-11-22	2016-11-22 20:38:37
黄轩        	11914  	571366   	71403  	2016-11-22	2016-11-22 20:38:42
林更新       	15054  	796040   	274803 	2016-11-22	2016-11-22 20:38:46
王迅        	2044   	56934    	12278  	2016-11-22	2016-11-22 20:38:50
李治廷       	5867   	207249   	27597  	2016-11-22	2016-11-22 20:38:54
张晋        	       	113714   	15010  	2016-11-22	2016-11-22 20:38:59
张睿        	1931   	34530    	15581  	2016-11-22	2016-11-22 20:39:03
陈龙        	3526   	48230    	1953   	2016-11-22	2016-11-22 20:39:07
徐洪浩       	3312   	166140   	19811  	2016-11-22	2016-11-22 20:39:11
俞灏明       	740777 	20629030 	376196 	2016-11-22	2016-11-22 20:39:15
张子健       	32204  	1461674  	139240 	2016-11-22	2016-11-22 20:39:19
冯绍峰       	       	2899687  	290768 	2016-11-22	2016-11-22 20:39:24
张智霖       	51833  	1336016  	281976 	2016-11-22	2016-11-22 20:39:28
唐禹哲       	92945  	4755348  	322871 	2016-11-22	2016-11-22 20:39:32
保剑锋       	37918  	570341   	20264  	2016-11-22	2016-11-22 20:39:36
徐峥        	15557  	544054   	138508 	2016-11-22	2016-11-22 20:39:40
小沈阳       	96361  	4294156  	268918 	2016-11-22	2016-11-22 20:39:45
何晟铭       	52451  	2765414  	296713 	2016-11-22	2016-11-22 20:39:49
张博        	975    	7140     	1144   	2016-11-22	2016-11-22 20:39:53
甄子丹       	77558  	2424984  	275096 	2016-11-22	2016-11-22 20:39:57
刘天佐       	1084   	16142    	1123   	2016-11-22	2016-11-22 20:40:01
徐开骋       	486    	11085    	551    	2016-11-22	2016-11-22 20:40:05
徐佳        	4566   	275957   	131309 	2016-11-22	2016-11-22 20:40:10
刘德华       	695934 	18926075 	822960 	2016-11-22	2016-11-22 20:40:14
刘奕君       	1188   	26236    	2512   	2016-11-22	2016-11-22 20:40:18
明道        	126966 	5381555  	345692 	2016-11-22	2016-11-22 20:40:22
赵本山       	53792  	609005   	264711 	2016-11-22	2016-11-22 20:40:26
叶祖新       	       	166800   	218657 	2016-11-22	2016-11-22 20:40:31
古巨基       	59455  	1585244  	184720 	2016-11-22	2016-11-22 20:40:35
梁朝伟       	41205  	1059670  	286771 	2016-11-22	2016-11-22 20:40:39
文章        	37240  	1299310  	282726 	2016-11-22	2016-11-22 20:40:43
林永健       	1450   	11148    	3445   	2016-11-22	2016-11-22 20:40:47
邱泽        	38869  	6068192  	255205 	2016-11-22	2016-11-22 20:40:51
黎耀祥       	18073  	879158   	134378 	2016-11-22	2016-11-22 20:40:56
释小龙       	18245  	489189   	18411  	2016-11-22	2016-11-22 20:41:00
朱雨辰       	       	246336   	20882  	2016-11-22	2016-11-22 20:41:04
林子闳       	4570   	425599   	139293 	2016-11-22	2016-11-22 20:41:08
吴樾        	6326   	185021   	13024  	2016-11-22	2016-11-22 20:41:12
周杰        	6136   	139162   	6657   	2016-11-22	2016-11-22 20:41:17
李光洁       	9513   	451701   	131847 	2016-11-22	2016-11-22 20:41:21
陈键锋       	71371  	3689799  	310209 	2016-11-22	2016-11-22 20:41:25
聂远        	27828  	914319   	135094 	2016-11-22	2016-11-22 20:41:29
余文乐       	34550  	910972   	351201 	2016-11-22	2016-11-22 20:41:34
赵文卓       	60489  	1642414  	257751 	2016-11-22	2016-11-22 20:41:38
姜潮        	93345  	4646589  	107573 	2016-11-22	2016-11-22 20:41:42
韩栋        	8586   	536421   	397599 	2016-11-22	2016-11-22 20:41:46
谢君豪       	13356  	301632   	7520   	2016-11-22	2016-11-22 20:41:50
白敬亭       	5399   	539023   	85619  	2016-11-22	2016-11-22 20:41:54
秦俊杰       	13653  	336785   	852638 	2016-11-22	2016-11-22 20:41:59
谢天华       	12582  	329533   	32869  	2016-11-22	2016-11-22 20:42:03
康磊        	406    	11239    	779    	2016-11-22	2016-11-22 20:42:07
祖峰        	9261   	272847   	9866   	2016-11-22	2016-11-22 20:42:11
郑元畅       	49584  	2113078  	280836 	2016-11-22	2016-11-22 20:42:15
周渝民       	110359 	3678528  	279567 	2016-11-22	2016-11-22 20:42:19
赵文瑄       	12634  	954253   	22012  	2016-11-22	2016-11-22 20:42:24
陈展鹏       	8327   	279922   	132680 	2016-11-22	2016-11-22 20:42:28
黄海冰       	31717  	1093635  	134433 	2016-11-22	2016-11-22 20:42:32
严宽        	15258  	472857   	141169 	2016-11-22	2016-11-22 20:42:36
李玉刚       	213523 	6664487  	301750 	2016-11-22	2016-11-22 20:42:40
余少群       	8025   	509586   	131267 	2016-11-22	2016-11-22 20:42:45
陈坤        	69274  	1953900  	350518 	2016-11-22	2016-11-22 20:42:49
董春辉       	158    	5244     	418    	2016-11-22	2016-11-22 20:42:53
程皓枫       	1378   	28917    	1480   	2016-11-22	2016-11-22 20:42:57
高明        	5019   	92896    	7741   	2016-11-22	2016-11-22 20:43:01
王煜        	3259   	240119   	5168   	2016-11-22	2016-11-22 20:43:06
于毅        	961    	26866    	4595   	2016-11-22	2016-11-22 20:43:10
罗嘉良       	       	900579   	28261  	2016-11-22	2016-11-22 20:43:14
朱梓骁       	31359  	957214   	53780  	2016-11-22	2016-11-22 20:43:18
炎亚纶       	71377  	6419009  	675257 	2016-11-22	2016-11-22 20:43:22
张涵予       	16186  	701964   	43125  	2016-11-22	2016-11-22 20:43:27
郑伊健       	62157  	3049977  	263961 	2016-11-22	2016-11-22 20:43:31
邱胜翊       	42640  	1523731  	170438 	2016-11-22	2016-11-22 20:43:35
张国立       	8091   	146374   	16927  	2016-11-22	2016-11-22 20:43:39
寇振海       	3379   	65927    	922    	2016-11-22	2016-11-22 20:43:44
李进荣       	1448   	72899    	1299   	2016-11-22	2016-11-22 20:43:48
欧阳震华      	14841  	368234   	23533  	2016-11-22	2016-11-22 20:43:52
苗侨伟       	30656  	1635751  	204988 	2016-11-22	2016-11-22 20:43:56
付辛博       	593504 	40225598 	307022 	2016-11-22	2016-11-22 20:44:00
张译        	43747  	2127278  	159559 	2016-11-22	2016-11-22 20:44:05
李佳航       	28021  	5415427  	152490 	2016-11-22	2016-11-22 20:44:09
蒲巴甲       	163639 	5290505  	138684 	2016-11-22	2016-11-22 20:44:13
易烊千玺      	25829  	4985250  	610993 	2016-11-22	2016-11-22 20:44:18
吴宗宪       	176978 	4666740  	500948 	2016-11-22	2016-11-22 20:44:22
方中信       	21535  	516948   	9801   	2016-11-22	2016-11-22 20:44:26
张可颐       	21284  	936642   	25604  	2016-11-22	2016-11-22 20:44:30
陈奕        	11952  	614498   	132296 	2016-11-22	2016-11-22 20:44:34
刘小锋       	8801   	634582   	17241  	2016-11-22	2016-11-22 20:44:39
曲哲明       	337    	16018    	314    	2016-11-22	2016-11-22 20:44:43
林子聪       	868    	25274    	3381   	2016-11-22	2016-11-22 20:44:47
杨玏        	2517   	100069   	9090   	2016-11-22	2016-11-22 20:44:51
武艺        	794581 	48778432 	671362 	2016-11-22	2016-11-22 20:44:55
徐正曦       	12473  	624806   	233382 	2016-11-22	2016-11-22 20:44:59
张庭        	27416  	564694   	32043  	2016-11-22	2016-11-22 20:45:04
陈道明       	19270  	462655   	242172 	2016-11-22	2016-11-22 20:45:08
何家劲       	19196  	617927   	9981   	2016-11-22	2016-11-22 20:45:12
郭晓峰       	1366   	61241    	413    	2016-11-22	2016-11-22 20:45:16
萧正楠       	12656  	289270   	16632  	2016-11-22	2016-11-22 20:45:20
庾澄庆       	16545  	723323   	146685 	2016-11-22	2016-11-22 20:45:25
张丰毅       	2799   	54866    	18875  	2016-11-22	2016-11-22 20:45:29
任天野       	2989   	63381    	3744   	2016-11-22	2016-11-22 20:45:33
欧豪        	51813  	6548348  	665943 	2016-11-22	2016-11-22 20:45:37
郑国霖       	18120  	455920   	6833   	2016-11-22	2016-11-22 20:45:41
黄海波       	21157  	766573   	243080 	2016-11-22	2016-11-22 20:45:45
张潇恒       	44     	139      	9      	2016-11-22	2016-11-22 20:45:50
张潇恒       	44     	139      	9      	2016-11-22	2016-11-22 20:45:54
成龙        	85486  	3413410  	437288 	2016-11-22	2016-11-22 20:45:58
马浚伟       	22924  	767269   	26099  	2016-11-22	2016-11-22 20:46:02
陈柏霖       	12221  	332400   	154317 	2016-11-22	2016-11-22 20:46:06
梁冠华       	5757   	425764   	21538  	2016-11-22	2016-11-22 20:46:11
樊少皇       	4034   	52867    	20518  	2016-11-22	2016-11-22 20:46:15
白凡        	2802   	159601   	1167   	2016-11-22	2016-11-22 20:46:19
雷佳音       	5234   	141144   	7036   	2016-11-22	2016-11-22 20:46:23
彭冠英       	2393   	78555    	6402   	2016-11-22	2016-11-22 20:46:27
周润发       	49086  	1031153  	265537 	2016-11-22	2016-11-22 20:46:32
唐国强       	5153   	94629    	2846   	2016-11-22	2016-11-22 20:46:36
黄日华       	21843  	698158   	145559 	2016-11-22	2016-11-22 20:46:40
谭凯        	3356   	47041    	3249   	2016-11-22	2016-11-22 20:46:44
霍政谚       	3307   	84075    	215593 	2016-11-22	2016-11-22 20:46:48
杜江        	649    	6289     	5210   	2016-11-22	2016-11-22 20:46:52
王志飞       	16263  	603668   	8789   	2016-11-22	2016-11-22 20:46:57
黄少祺       	       	263576   	4705   	2016-11-22	2016-11-22 20:47:01
张永刚       	83     	291      	89     	2016-11-22	2016-11-22 20:47:05
贺军翔       	58502  	3000615  	169056 	2016-11-22	2016-11-22 20:47:09
黄明        	6788   	155649   	19405  	2016-11-22	2016-11-22 20:47:13
孙坚        	1419   	14954    	2953   	2016-11-22	2016-11-22 20:47:18
李晨浩       	586    	10223    	724    	2016-11-22	2016-11-22 20:47:22
郑业成       	1445   	66017    	7771   	2016-11-22	2016-11-22 20:47:26
巍子        	2261   	100663   	12326  	2016-11-22	2016-11-22 20:47:30
柳云龙       	64384  	2191994  	37721  	2016-11-22	2016-11-22 20:47:34
范世琦       	13205  	1477574  	267613 	2016-11-22	2016-11-22 20:47:38
林佑威       	7382   	417292   	123929 	2016-11-22	2016-11-22 20:47:43
任泉        	15642  	238394   	122546 	2016-11-22	2016-11-22 20:47:47
关智斌       	22989  	599270   	8523   	2016-11-22	2016-11-22 20:47:51
张晓龙       	7699   	110831   	18701  	2016-11-22	2016-11-22 20:47:56
王森        	3203   	61391    	4155   	2016-11-22	2016-11-22 20:48:00
于波        	36998  	1018107  	137186 	2016-11-22	2016-11-22 20:48:04
姜武        	6280   	156799   	5239   	2016-11-22	2016-11-22 20:48:08
范伟        	7685   	228177   	15156  	2016-11-22	2016-11-22 20:48:12
戴阳天       	11840  	201510   	5743   	2016-11-22	2016-11-22 20:48:17
李智楠       	28932  	553618   	22470  	2016-11-22	2016-11-22 20:48:21
马国明       	24403  	876000   	141435 	2016-11-22	2016-11-22 20:48:25
李立群       	847    	6561     	613    	2016-11-22	2016-11-22 20:48:29
赵鸿飞       	15796  	889067   	10590  	2016-11-22	2016-11-22 20:48:34
辰亦儒       	47555  	1893864  	174736 	2016-11-22	2016-11-22 20:48:38
张震        	5408   	108874   	13537  	2016-11-22	2016-11-22 20:48:42
李茂        	74784  	2156276  	47836  	2016-11-22	2016-11-22 20:48:46
徐锦江       	2373   	76671    	15860  	2016-11-22	2016-11-22 20:48:50
魏巍        	272    	6404     	914    	2016-11-22	2016-11-22 20:48:55
林江国       	4349   	144077   	2913   	2016-11-22	2016-11-22 20:48:59
张逸杰       	619    	30765    	5654   	2016-11-22	2016-11-22 20:49:03
王耀庆       	1523   	76819    	6800   	2016-11-22	2016-11-22 20:49:07
丁勇岱       	1263   	26620    	1074   	2016-11-22	2016-11-22 20:49:11
王传君       	33625  	678326   	47486  	2016-11-22	2016-11-22 20:49:15
郭晋安       	22018  	558802   	21553  	2016-11-22	2016-11-22 20:49:20
许亚军       	2412   	81097    	3601   	2016-11-22	2016-11-22 20:49:24
刘冠翔       	3237   	54470    	1138   	2016-11-22	2016-11-22 20:49:28
廖凡        	2690   	76063    	2028   	2016-11-22	2016-11-22 20:49:32
黄觉        	2367   	35775    	1122   	2016-11-22	2016-11-22 20:49:36
张一山       	21786  	623675   	47795  	2016-11-22	2016-11-22 20:49:40
连奕名       	11666  	258873   	2086   	2016-11-22	2016-11-22 20:49:45
六小龄童      	3121   	598077   	90136  	2016-11-22	2016-11-22 20:49:49
王俊凯       	72424  	14340338 	1111037	2016-11-22	2016-11-22 20:49:53
黄志忠       	5659   	185448   	13762  	2016-11-22	2016-11-22 20:49:57
李宗翰       	11297  	291748   	17718  	2016-11-22	2016-11-22 20:50:01
李东学       	7960   	352046   	131435 	2016-11-22	2016-11-22 20:50:06
纪海星       	342    	4377     	228    	2016-11-22	2016-11-22 20:50:10
姜大卫       	14069  	871863   	131671 	2016-11-22	2016-11-22 20:50:14
陈德修       	39970  	2839959  	251849 	2016-11-22	2016-11-22 20:50:18
张瑞涵       	573    	15764    	795    	2016-11-22	2016-11-22 20:50:22
印小天       	3589   	24603    	1214   	2016-11-22	2016-11-22 20:50:26
黄文豪       	3925   	123202   	1663   	2016-11-22	2016-11-22 20:50:31
谷智鑫       	3579   	35788    	3687   	2016-11-22	2016-11-22 20:50:35
魏大勋       	2413   	29317    	39223  	2016-11-22	2016-11-22 20:50:39
王力宏       	998382 	51648211 	796310 	2016-11-22	2016-11-22 20:50:43
尹天照       	4385   	396968   	16735  	2016-11-22	2016-11-22 20:50:47
阮伟旌       	504    	9062     	789    	2016-11-22	2016-11-22 20:50:52
郑伟        	14954  	1872983  	145546 	2016-11-22	2016-11-22 20:50:56
朱一龙       	4207   	207993   	20902  	2016-11-22	2016-11-22 20:51:00
刘松仁       	11080  	263185   	20154  	2016-11-22	2016-11-22 20:51:04
张艺谋       	26637  	563229   	230689 	2016-11-22	2016-11-22 20:51:08
陈匡怡       	16784  	351723   	21359  	2016-11-22	2016-11-22 20:51:13
于荣光       	1665   	27017    	1540   	2016-11-22	2016-11-22 20:51:17
陆昱霖       	975    	29538    	5189   	2016-11-22	2016-11-22 20:51:21
王栎鑫       	384746 	12829158 	323076 	2016-11-22	2016-11-22 20:51:25
吕良伟       	3162   	53762    	940    	2016-11-22	2016-11-22 20:51:29
杜志国       	1102   	78845    	371    	2016-11-22	2016-11-22 20:51:33
郭涛        	2834   	112413   	5876   	2016-11-22	2016-11-22 20:51:38
